Count,Name,Position X,Position Y,Layer,File Name,Title,Point Link
1,GFX_GROUP-39986,646.5000,-49.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-12413,2091.5000,119.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-15442,2559.5000,199.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-24-0
1,GFX_LINKED-12413,2091.5000,119.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-16-0
1,GFX_LINKED-8757,2047.0000,116.0000,PULL STATION,X-4TH FLOOR.dwg,,2:M3-64-0
1,GFX_GROUP-8757,2047.0000,116.0000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-15466,2394.5000,144.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-23-0
1,GFX_GROUP-15466,2394.5000,144.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-15448,2559.5000,112.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-15442,2559.5000,199.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-15448,2559.5000,112.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-25-0
1,GFX_GROUP-11893,1338.0000,240.0000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-6548,422.0000,50.0000,TAMPER SWITCH,X-4TH FLOOR.dwg,,2:M3-75-0
1,GFX_GROUP-6548,422.0000,50.0000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-6571,398.0000,50.0000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-6612,584.0000,116.0000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-6571,398.0000,50.0000,WATER FLOW,X-4TH FLOOR.dwg,,2:M3-74-0
1,GFX_GROUP-9079,1314.0000,240.0000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-11893,1338.0000,240.0000,TAMPER SWITCH,X-4TH FLOOR.dwg,,2:M3-73-0
1,GFX_LINKED-9079,1314.0000,240.0000,WATER FLOW,X-4TH FLOOR.dwg,,2:M3-72-0
1,GFX_LINKED-35958,767.5000,177.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-42-0
1,GFX_GROUP-35958,767.5000,177.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-18890,2180.0000,55.0000,WATER FLOW,X-4TH FLOOR.dwg,,2:M3-78-0
1,GFX_GROUP-18890,2180.0000,55.0000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-18887,2200.0000,76.0000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_GROUP-3019,2223.5000,197.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-18887,2200.0000,76.0000,TAMPER SWITCH,X-4TH FLOOR.dwg,,2:M3-79-0
1,GFX_GROUP-39974,678.5000,-116.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-39986,646.5000,-49.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-34-0
1,GFX_LINKED-39974,678.5000,-116.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-32-0
1,GFX_LINKED-39968,640.5000,-117.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-31-0
1,GFX_GROUP-39968,640.5000,-117.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-3019,2223.5000,197.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-18-0
1,GFX_GROUP-15478,2283.5000,164.5000,BACKGROUND,X-4TH FLOOR.dwg,,
1,GFX_LINKED-15460,2234.5000,239.5000,SMOKE DETECTOR,X-4TH FLOOR.dwg,,2:M3-17-0
1,GFX_LINKED-15478,2283.5000,164.5000,DUCT DETECTOR,X-4TH FLOOR.dwg,,2:M3-21-0
